author,title,description,url,urlToImage,publishedAt,content,source_id,source_name
msmash,Morgan Stanley Says Firms Are Focused on Costs Like Never Before,"US companies are discussing cost control on earnings calls at a record rate, amid a push to reallocate funds and invest in new technologies, according to an analysis by Morgan Stanley strategists. From a report: Transcript mentions of ""operational efficiency""…",https://news.slashdot.org/story/24/02/12/147243/morgan-stanley-says-firms-are-focused-on-costs-like-never-before,https://a.fsdn.com/sd/topics/business_64.png,2024-02-12T14:07:00Z,"Transcript mentions of ""operational efficiency"" are at the highest ever in the US during this earnings season as companies focus on expense discipline, but also invest in technologies ""that can drive… [+823 chars]",,Slashdot.org
Isabel Wang,"While the tech rally loses stream, this stock-market breadth indicator is at its strongest level in nearly 3 years","A handful of megacap technology names were responsible for most of the S&P 500’s gains over the past year — but that has started to change in 2024, according to Bespoke Investment Group.",https://www.marketwatch.com/story/while-the-tech-rally-loses-stream-this-stock-market-breadth-indicator-is-at-its-strongest-level-in-nearly-3-years-595a6aab,https://images.mktw.net/im-53111258/social,2024-03-05T19:32:00Z,"A handful of megacap technology names were responsible for most of the S&amp;P 500s gains over the past year but that has started to change in 2024, according to Bespoke Investment Group. While the s… [+3303 chars]",,MarketWatch
Matthew Fox,The stock market's strong year is a good sign for Biden's reelection hopes,"""A strong start to the year for stocks has tended to foreshadow an incumbent victory, especially for Democrats,"" Ned Davis Research said.",https://markets.businessinsider.com/news/stocks/stock-market-signal-presidential-reelection-joe-biden-incumbent-donald-trump-2024-3,https://i.insider.com/65b05f5643bb77284b9ffe96?width=1200&format=jpeg,2024-03-02T13:46:01Z,"President Joe Biden arrives to pardon the National Thanksgiving turkeys, Liberty and Bell, during a ceremony on the South Lawn of the White House on November 20, 2023, in Washington, DC.Drew Angerer/… [+2273 chars]",business-insider,Business Insider
Joseph Adinolfi,Stocks with strongest demand for bullish options keep outperforming the S&P 500,"Outperforming stocks are seeing the strongest demand for bullish option bets, Citigroup strategists find.",https://www.marketwatch.com/story/stocks-with-strongest-demand-for-bullish-options-keep-outperforming-the-s-p-500-b68a51fb,https://images.mktw.net/im-257704/social,2024-03-05T19:00:00Z,Surging demand for options contracts has accompanied a rally for stocks this year as both professional and retail traders have piled into bullish bets on individual stocks at the fastest pace since t… [+2360 chars],,MarketWatch
Lawrence G. McMillan,S&P 500 chart is still bullish — even as stronger headwinds hit the market,Keep a core bullish position and watch for signs of weakness.,https://www.marketwatch.com/story/s-p-500-chart-is-still-bullish-even-as-stronger-headwinds-hit-the-market-6243928b,https://images.mktw.net/im-783601/social,2024-02-15T23:49:00Z,"The U.S. stock market, as measured by the S&amp;P 500 Index, ran into trouble earlier this week as it reacted negatively to the U.S. consumer-price index report. But prices bounced back the next day,… [+331 chars]",,MarketWatch
Barbara Kollmeyer,"S&P 500 seen grinding to new high with producer prices, sentiment data ahead",U.S. stock index futures are pointing mostly higher ahead of Friday’s open with more economic data on the way.,https://www.marketwatch.com/story/s-p-500-seen-grinding-to-new-high-with-producer-prices-sentiment-data-ahead-08c44188,https://images.mktw.net/im-38301323/social,2024-02-16T10:20:00Z,"U.S. equity index futures indicated the S&amp;P 500 could grind to another record high on Friday, with the technology sector likely to see a third-straight winning session, as a fresh batch of econom… [+1937 chars]",,MarketWatch
Christine Idzelis,AI stocks in the S&P 500 have outperformed this year — and not just the ‘Magnificent Seven’,"It’s not just the top seven companies in the S&P 500 that are benefiting from the stock-market craze around artificial intelligence, according to Bespoke Investment Group.",https://www.marketwatch.com/story/ai-stocks-in-the-s-p-500-have-outperformed-this-year-and-not-just-the-magnificent-seven-0faeee1d,https://images.mktw.net/im-82393258/social,2024-02-20T18:45:00Z,"Its not just the top seven companies in the S&amp;P 500 that are benefiting from the stock-market craze around artificial intelligence, according to Bespoke Investment Group. Sixty-seven stocks in th… [+3039 chars]",,MarketWatch
Barbara Kollmeyer,"Goldman Sachs lifts S&P 500 target to 5,200, says Big Tech must do the heavy lifting","Citing expectations for stronger economic growth and profits for Big Tech, Goldman joins some of Wall Street’s biggest bulls with an S&P 500 forecast of 5,200.",https://www.marketwatch.com/story/goldman-sachs-lifts-s-p-500-target-to-5-200-says-big-tech-must-do-the-heavy-lifting-1202a3f6,https://images.mktw.net/im-89443399/social,2024-02-19T09:47:00Z,"Just days ahead of potentially pivotal results from Nvidia Corp., Goldman Sachs has lifted its year-end S&amp;P 500 target to 5,200, but with much of that hinging on Big Techs ability to keep deliver… [+3948 chars]",,MarketWatch
Joseph Adinolfi,"Alphabet, Amazon likely to follow Meta by introducing first-ever dividends in 2024",There is good news for income-oriented investors — or anybody who owns any of the so-called Magnificent Seven tech stocks that have powered much of the S&P 500’s gains over the past year.,https://www.marketwatch.com/story/alphabet-amazon-likely-to-follow-meta-by-introducing-first-ever-dividends-in-2024-839167f4,https://images.mktw.net/im-39439057/social,2024-02-12T14:38:00Z,There is good news for income-oriented investors or anybody who owns any of the so-called Magnificent Seven tech stocks that have powered much of the S&amp;P 500s gains over the past year. Meta Platf… [+2839 chars],,MarketWatch
jsor@businessinsider.com (Jennifer Sor),"Stocks will likely keep rising under the Fed's policy regime as the 'roaring 1990s' returns, market vet says","Stocks will climb higher through the rest of the 2020s as interest rates are in a sweet spot, according to market vet Ed Yardeni",https://markets.businessinsider.com/news/stocks/stock-market-outlook-fed-rate-cuts-economy-inflation-roaring-90s-2024-2,https://i.insider.com/5b116c591ae6621b008b4749?width=1200&format=jpeg,2024-02-26T14:59:54Z,"Stocks will likely keep climbing over the next decade, because interest rates in the economy are priced just right, which means the ""roaring 1990s"" could make a comeback, according to Wall Street vet… [+3393 chars]",business-insider,Business Insider
Barbara Kollmeyer,U.S. stock futures steady ahead of busy data week as investors look for fresh catalysts,U.S. equity futures point to a flat start on Monday as a busy data week looms and investors look for a fresh catalyst to push the S&P 500 higher.,https://www.marketwatch.com/story/u-s-stock-futures-steady-ahead-of-busy-data-week-as-investors-look-for-fresh-catalysts-ed772727,https://images.mktw.net/im-96067118/social,2024-02-26T11:28:00Z,"U.S. stock futures pointed to a mostly flat start for Wall Street on Monday, as investors braced for a busy week of data, and looked for more catalysts to take the market higher following a boost fro… [+2195 chars]",,MarketWatch
Christine Idzelis,Why international stocks may be an ‘inexpensive hedge’ as S&P 500 outperforms rest of the world,"The S&P 500 has been beating the rest of the world for years, but diversifying geographically may now be “an inexpensive hedge” against a potential correction in U.S stocks, according to Morgan Stanley Wealth Management.",https://www.marketwatch.com/story/why-international-stocks-may-be-an-inexpensive-hedge-as-s-p-500-outperforms-rest-of-the-world-52bab410,https://images.mktw.net/im-49206722/social,2024-02-26T19:56:00Z,"The S&amp;P 500 has been beating the rest of the world for years, but diversifying geographically may now be an inexpensive hedge against a potential correction in U.S stocks, according to Morgan Sta… [+4809 chars]",,MarketWatch
mfox@businessinsider.com (Matthew Fox),"Why stocks will rise in 2024 with or without a rate cut, according to BofA","""In our view, as long as the Fed doesn't hike further from here, stocks could remain reasonably well positioned,"" Bank of America said.",https://markets.businessinsider.com/news/stocks/federal-reserve-interest-rate-cuts-stock-market-outlook-investing-bofa-2024-2,https://i.insider.com/63473024c03fe400197b4e05?width=1200&format=jpeg,2024-02-12T16:28:13Z,"The stock market doesn't need interest rate cuts to continue rising in 2024, according to Bank of America equity strategist Savita Subramanian.
Investors appear poised for disappointment as they con… [+1766 chars]",business-insider,Business Insider
Isabel Wang,How U.S. stock markets have fared in March following a strong February,"U.S. stocks cemented a winning month in February, but the seemingly relentless rally also raises the concern of whether investors would take profits in the early days of March.",https://www.marketwatch.com/story/how-u-s-stock-markets-have-fared-in-march-following-a-strong-february-2a8b7d18,https://images.mktw.net/im-38301323/social,2024-03-01T18:40:00Z,"U.S. stocks cemented a winning month in February, but the seemingly relentless rally raises the concern of whether investors would take profits in the early days of March. When glancing back in time,… [+2334 chars]",,MarketWatch
Philip van Doorn,25 of the best-performing stocks in the S&P 500 appear to be better values than they were a year ago. Nvidia is one of them.,"Nvidia, Uber, Amazon and Live Nation are four of the companies that have combined soaring stock prices with even more rapid increases in earnings estimates over the past year.",https://www.marketwatch.com/story/25-of-the-best-performing-stocks-in-the-s-p-500-appear-to-be-better-values-than-they-were-a-year-ago-nvidia-is-one-of-them-488ec988,https://images.mktw.net/im-33462096/social,2024-03-04T16:31:00Z,"Some investors love to ride along with momentum, and the biggest question is always how long the big market moves may last. Over the past year, the U.S. stock market as a whole has gotten more expens… [+7938 chars]",,MarketWatch
William Watts,Dow bounces back from inflation-inspired dive. Here’s the message for investors.,Investors are shaking off a likely delay when it comes to Federal Reserve rate cuts.,https://www.marketwatch.com/story/dow-bounces-back-from-inflation-inspired-dive-heres-the-message-for-investors-5d687c0e,https://images.mktw.net/im-602550/social,2024-02-16T17:24:00Z,"For at least the third time since late December, the stock market suffered a steep one-day fall only to quickly claim most of it back, leaving investors to divine whats really driving a bull market t… [+3290 chars]",,MarketWatch
Mark Hulbert,The industry most favored by these stock-market experts might surprise you,The stocks and funds popular among top performing investment newsletters,https://www.marketwatch.com/story/the-industry-most-favored-by-these-stock-market-experts-might-surprise-you-28a81cda,https://images.mktw.net/im-388933/social,2024-02-12T16:20:00Z,"I bet you cant guess which industry is currently most favored by investment newsletters.
Ill give you a clue: Its not technology, which by far is the best-performing S&amp;P 500 SPX industry for yea… [+197 chars]",,MarketWatch
MarketWatch,These mutual fund and ETF investing tips can get you in step with the market,"Beating index funds; a Saudi Arabia ETF, and fund managers’ healthcare picks.",https://www.marketwatch.com/story/these-mutual-fund-and-etf-investing-tips-can-get-you-in-step-with-the-market-319d0993,https://images.mktw.net/im-643969/social,2024-02-22T13:11:00Z,Sign up here to get MarketWatchs highlights of the most timely ETF news emailed to you weekly!The growth of indexing may lead to some stocks being overvalued while others may be undervalued Read More… [+843 chars],,MarketWatch
Theron Mohamed,A trusted indicator is fueling recession warnings from Jeremy Grantham and other gurus. What you should know about the Leading Economic Index.,"The Leading Economic Index has declined for almost two years, fanning recession fears among top investors and economists.",https://www.businessinsider.com/leading-economic-index-recession-indicator-outlook-grantham-rosenberg-gundlach-shilling-2024-2,https://i.insider.com/65d4ae62a3bd891424f8764e?width=1200&format=jpeg,2024-02-21T12:26:04Z,"MJgraphics / Shutterstock
<ul><li>The Leading Economic Index brings together data on stocks, housing, credit, jobs, and sentiment.</li><li>The trusted recession indicator has declined for 22 consecu… [+4873 chars]",business-insider,Business Insider
Max Zahn,"AI is driving stock market gains. That's a problem, some analysts say.",Proponents say AI will revolutionize business. Critics warn it may never come.,https://abcnews.go.com/Business/ai-driving-stock-market-rally-technology-falters/story?id=107630455,https://i.abcnewsfe.com/a/a39fa70b-5951-45cb-b9e7-64f673ad579a/trader-nyse-gty-ml-240304_1709575733312_hpMain_16x9.jpg?w=1600,2024-03-05T13:18:00Z,"Ten days after the Super Bowl, Wall Street held its own version -- at least that's the way some traders on social media described it.
Nvidia, which had soared to prominence selling the majority of c… [+5611 chars]",abc-news,ABC News
Theron Mohamed,Market prophet Gary Shilling warns stocks could crash 30% — and says the odds are 'very much in favor of a recession',"Star forecaster Gary Shilling rang the alarm on stocks and growth, dismissed de-dollarization fears, and predicted the housing market would recover.",https://markets.businessinsider.com/news/stocks/stock-market-forecast-crash-shilling-recession-economy-dollar-housing-debt-2024-3,https://i.insider.com/608948dc3f0560001881c769?width=1200&format=jpeg,2024-03-05T12:18:19Z,"Gary Shilling.Bloomberg
<ul>
<li>Stocks may crash 30% and a recession could hit within months, Gary Shilling said.</li>
<li>The star forecaster said stocks are super pricey and flagged several signs… [+4198 chars]",business-insider,Business Insider
Yuheng Zhan,Why the productivity gains from AI won't be able to prevent a recession,"A burst of technological advancement has never reshaped the dynamics of the business cycle, economist David Rosenberg argues.",https://www.businessinsider.com/us-recession-artificial-intelligence-ai-boom-fail-prevent-hard-landing-2024-3,https://i.insider.com/63d904ef7db5600019bac3a6?width=1200&format=jpeg,2024-03-01T16:14:50Z,"Yuichiro Chino/Getty Images
<ul>
<li>AI may be powering the stock market higher but it won't stop a recession, David Rosenberg said. </li>
<li>AI can't change the fact that businesses are about to f… [+2211 chars]",business-insider,Business Insider
Aruni Soni,"A booming stock market means homebuyers will be more tolerant of high mortgage rates, Compass CEO says","Interest rates on home loans may be ticking up, but ""you don't need 6% mortgage rates when the stock market is at an all-time high.""",https://www.businessinsider.com/us-stock-market-housing-market-outlook-high-mortgage-rates-fed-2024-2,https://i.insider.com/65d78d3fa610a9069d5b4d6f?width=1200&format=jpeg,2024-02-22T19:28:03Z,"A for sale sign.Feverpitched/Getty Images
<ul>
<li>A strong US stock market means homebuyers are more tolerant of high mortgage rates, Compass CEO Robert Refkin said.</li>
<li>Mortgage rates have be… [+1799 chars]",business-insider,Business Insider
